"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bulgaria","BGR","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60576860698.6248","55953027188.5062","58093585988.2546","58507361218.2745","60715902674.437","63574017873.9461","55415832385.6757","46290740709.3509","50045752572.994","47039675791.3499","51187612830.3008","55833377110.1503","62301575895.0828","66508781408.2258","71835927219.3313","79042085273.0348","84566779894.1409","89599119256.4969","102296021109.571","102189037129.015","108300367251.868","112043764717.739","117644835474.912","118317202002.545","126186654454.175","127909911143.863","138683031776.502","148527149889.739","156421107331","165477738693.374","165993950799.005","187061144997.981",
"Bahrain","BHR","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14011099922.9203","15943898131.1117","16819317725.4941","18583514513.259","18809353485.0998","20657477865.9544","22031604911.1804","22337787828.8286","23941496744.4584","24942122272.0007","27311709164.616","28295453131.7053","29116729676.1554","31901610889.7913","35074326852.3588","39345206906.1066","43404762401.311","48622926281.6891","51466159944.9602","49326998905.5529","52801027932.7423","52634201219.1065","63717186823.4415","65227977632.6593","64937397694.8038","59027883384.9117","60275901158.781","67284010435.2343","70433154386.7178","72968493134.4988","69297316263.8719","",
"Bahamas, The","BHS","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5333877339.99445","5274646188.66238","5281406699.99961","5377135318.63917","5662640516.67022","6637884855.31882","7386112317.31863","6976558277.20958","6690184460.76252","7708079964.87031","8202710522.84746","8550949974.0223","8947601304.44419","9041309133.07167","9380827187.12341","9974318030.5535","10509743883.861","10945837821.4092","11055352871.7242","10578175601.5012","10782479460.1404","11072141158.2712","11420995425.8464","11331939743.5128","11874815835.9489","12238745672.5528","12330322560.7779","13309085826.7646","13435858951.2965","14147593739.182","10911762266.6392","12651107437.5715",
"Bosnia and Herzegovina","BIH","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3143136172.42836","3883146840.13134","7837545514.79022","10890451252.4342","15756036370.0724","16976736047.5476","18886846866.1961","19487136332.4869","20785396593.6038","21526419895.1527","24473952895.3953","25415388799.3059","28767340920.5709","31758013914.677","35149002076.8449","35029270658.8905","35200312392.4479","36802733706.9587","37417621469.6078","39558647434.6815","40143330194.4165","41470636219.8095","44340179177.4675","45717788943.4509","49289735539.9005","51730207210.4592","50605728861.3153","56007325758.7876",
"Belarus","BLR","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53250955635.6686","54391157109.1213","50290136477.0865","47617830544.9246","42840582458.8744","39228392037.0944","41127085695.2382","46488135407.4215","51008549597.6294","53563188138.9139","57659973001.6431","61784186325.7878","66007857203.3204","72302377948.2925","82560911808.505","93400148664.821","105387913202.195","116840196948.06","130712030599.477","130621331528.747","142729488499.916","154983303603.245","167209008145.489","173067538960.123","174210112547.415","163948504069.03","160479887712.147","167108190268.284","176825035493.219","183774398518.944","182151459320.461","194830474120.495",
"Belize","BLZ","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","815191857.09123","938372241.882672","1068881853.67955","1158729018.64453","1175469643.83358","1214829738.52239","1245371522.41861","1317821006.86087","1373194277.64991","1507780970.82435","1731158938.2393","1839402546.96024","1969676064.04798","2162976652.40371","2286242558.48596","2424834534.30466","2611581055.39166","2726432177.56138","2731020076.80647","2861917397.0245","2852948908.3488","2992108493.19416","2877754652.18913","3021937022.52201","3047960905.34404","3208205954.72753","3199122544.29093","3142833046.12913","3209620142.09103","3413585151.71931","3118249940.35235","3730446284.34293",
"Bermuda","BMU","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4700905409.07144","4635082852.05734","4565102131.19074","4691734061.22244","4650207512.13465","4857325794.21895","5069411917.91031","5441446654.03734","5501636897.90889","5514762250.79722","5281002855.06755","5872773386.67",
"Bolivia","BOL","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15452183829.003","16901932311.9163","17778036499.4189","18959215198.3329","20381203761.9904","21776352416.6647","23204745342.6854","24859832800.9132","26558455768.3329","26921045311.4299","28129616809.3607","29275315682.1106","30471917020.7801","31540570279.8615","33510905394.8558","36257389727.6557","39361711666.7343","42156083523.0996","45849622668.7466","47362830022.5297","49578723011.0154","53471345613.9369","57756234187.7259","65495334662.9702","71666096539.7519","74894854641.2025","81222638742.541","91495898239.9634","98178462888.8414","102545287150.252","95588814882.2866","104106476338.222",
"Brazil","BRA","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","970854098978.38","1018393173409.97","1039691964044.88","1110513058302.45","1183277702956.38","1291148271502.43","1344640977517.25","1409779863023.46","1424428426880.57","1436198070400.94","1536381998034.9","1586812024459.97","1658897262302.96","1714146776160.9","1865757891087.99","1987185833915.66","2138178911450.14","2338293554878.2","2496150291964.5","2515143574925.49","2712465331986.72","2894294561191.2","2923719823247.29","3090347659227.13","3127764536936.54","2958026429302.9","2876740136515.87","2962271099133.41","3058475755190.9","3154294912145.58","3086112276640.51","3343313239305.32",
"Barbados","BRB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2441098968.37513","2432913728.5696","2358680218.77268","2421963935.34805","2518549765.69531","2609078517.24902","2753355633.00401","2949492578.06991","3094794593.95331","3132779905.35841","3339184524.78516","3317196066.26912","3386937669.66423","3516278216.90877","3691487509.43758","3909113037.30563","4208937422.69387","4509332182.43125","4571177039.06764","4410370336.68801","4439030119.36681","4316787375.60909","4181104155.75847","4178437974.81824","4140504807.39216","4234834096.99333","4352678557.62825","4319410929.19902","4358423264.39984","4425334673.41249","4028355426.12914","4164810195.39325",
